pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
26000,,nse_cm,,NIFTY,NIFTY,,NIFTY,,,,,NIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26009,,nse_cm,,BANKNIFTY,BANKNIFTY,,BANKNIFTY,,,,,BANKNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26037,,nse_cm,,FINNIFTY,FINNIFTY,,FINNIFTY,,,,,FINNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26074,,nse_cm,,MIDCPNIFTY,MIDCPNIFTY,,MIDCPNIFTY,,,,,MIDCPNIFTY,,,-1,-1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
5676,SG,nse_cm,,687JH31,687JH31-SG,,687JH31-SG,IN3720210019,,,,SDL JH 6.87% 2031,,,1,100,-1,-1,2,-1,NSE,,,1316304000,,1316304000,0,0,0,0,0,95.00-105.00,0,0,1465664079,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000,
4751,EQ,nse_cm,,INDRAMEDCO,INDRAMEDCO-EQ,,INDRAMEDCO,INE681B01017,,,,INDRAPRASTHA MEDICAL CORP,,,5,1,-1,-1,2,-1,NSE,,,547430400,,547430400,0,0,0,0,1442620800,301.45-452.15,0,0,1465682619,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,265301.00,1,0,45215,30145,1,1,1,0,0,1,0,9.1673e+07,0,0,265301,
4774,BZ,nse_cm,,LAKPRE,LAKPRE-BZ,,LAKPRE-BZ,INE651C01018,,,,LAKSHMI PRE SCRE LTD,,,1,1,-1,-1,2,-1,NSE,,,1222300800,,1222300800,0,0,0,0,0,4.80-5.30,0,0,1465682620,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,357792.00,1,0,530,480,1,1,1,0,0,1,0,1.09417e+07,0,0,357792,"Scrips in GSM,Identified as RECEIPT OF CORPORATE ANNOUNCEMENT / DISCLOSURE FROM THE COMPANY,The company is in BZ/SZ series due to non-compliance with SEBI SOP Circular,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,Gross settlement (Trade for Trade)"
48,EQ,nse_cm,,HAPPSTMNDS,HAPPSTMNDS-EQ,,HAPPSTMNDS,INE419U01012,,,,HAPPIEST MINDS TECHNO LTD,,,5,1,-1,-1,2,-1,NSE,,,1284768000,,1284768000,0,0,0,0,1446681600,276.00-414.00,0,0,1465682619,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,315513000,0,1,289778.00,1,0,41400,27600,1,1,1,0,0,1,0,1.52275e+08,0,0,289778,
5160,NA,nse_cm,,9PFL31A,9PFL31A-NA,,9PFL31A-NA,INE516Y07428,,,,SEC RE NCD 9% SR.V,,,1,1,-1,-1,2,-1,NSE,,,1311897600,,1311897600,0,0,0,0,1373241600,873.60-1310.40,0,0,1465664079,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,315513000,0,1,50360.00,1,0,131040,87360,1,1,1,0,0,1,0,1.54008e+06,0,0,50360,
5108,EQ,nse_cm,,KPIGREEN,KPIGREEN-EQ,,KPIGREEN,INE542W01025,,,,KPI GREEN ENERGY LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1311811200,,1311811200,0,0,0,0,1454025600,305.40-458.00,0,0,1465682620,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,315513000,0,1,261871.00,1,0,45800,30540,1,1,1,0,0,1,0,1.97341e+08,0,0,261871,
