pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
26000,,nse_cm,,NIFTY,NIFTY,,NIFTY,,,,,NIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26009,,nse_cm,,BANKNIFTY,BANKNIFTY,,BANKNIFTY,,,,,BANKNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26037,,nse_cm,,FINNIFTY,FINNIFTY,,FINNIFTY,,,,,FINNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26074,,nse_cm,,MIDCPNIFTY,MIDCPNIFTY,,MIDCPNIFTY,,,,,MIDCPNIFTY,,,-1,-1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
15331,BL,nse_cm,,QGOLDHALF,QGOLDHALF-BL,,QGOLDHALF-BL,INF082J01408,,,,QUANTUM GOLD FUND,,,1,1,-1,-1,2,-1,NSE,,,888624000,,888624000,0,0,0,0,1324166400,121.53-129.03,0,0,1465579303,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,315513000,0,1,806166.00,1,0,12903,12153,1,1,1,0,0,1,0,5.884e+07,0,0,806166,
15333,SG,nse_cm,,746TS48A,746TS48A-SG,,746TS48A-SG,IN4520230033,,,,SDL TS 7.46% 2048,,,1,100,-1,-1,2,-1,NSE,,,1367712000,,1367712000,0,0,0,0,0,95.00-105.00,0,0,1465577415,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
15374,N4,nse_cm,,840CIFCL28,840CIFCL28-N4,,840CIFCL28-N4,INE121A07QY9,,,,SEC RE NCD 8.40% SR.V,,,1,1,-1,-1,2,-1,NSE,,,1367971200,,1367971200,0,0,0,0,1460851200,812.00-1218.00,0,0,1465577415,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,315513000,0,1,98520.00,1,0,121800,81200,1,1,1,0,0,1,0,4.40294e+06,0,0,98520,
15386,BL,nse_cm,,MANKIND,MANKIND-BL,,MANKIND-BL,INE634S01028,,,,MANKIND PHARMA LIMITED,,,10,1,-1,-1,2,-1,NSE,,,1368057600,,1368057600,0,0,0,0,1439078400,2305.00-2447.40,0,0,1465579303,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,0,1,41693.00,1,0,244740,230500,1,1,1,0,0,1,0,4.12805e+08,0,0,41693,
17071,EQ,nse_cm,,URAVIDEF,URAVIDEF-EQ,,URAVIDEF,INE568Z01015,,,,URAVI DEFENCE &TECH LTD,,,1,1,-1,-1,2,-1,NSE,,,1372982400,,1372982400,0,0,1411603200,1412121600,0,103.77-126.83,0,0,1465586470,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,372779.00,1,0,12683,10377,1,1,1,0,0,1,0,1.14e+07,0,0,372779,"The scrip PE is greater than 50 for previous 4 trailing quarters,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100,High low price variation was greater than 300% in previous 365 days,High low price variation was greater than 100% in previous 6 months,High low price variation was greater than 200% in previous 365 days"
1708,EQ,nse_cm,,JAYBARMARU,JAYBARMARU-EQ,,JAYBARMARU,INE571B01036,,,,JAY BHARAT MARUTI LTD,,,1,1,-1,-1,2,-1,NSE,,,493603200,,505094400,0,0,0,0,1440720000,119.86-146.48,0,0,1465586470,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,315513000,0,1,750822.00,1,0,14648,11986,1,1,1,0,0,1,0,1.0825e+08,0,0,750822,Stage 1 Short Term ASM scrip
